,neg,neu,pos,compound
0,0.0,1.0,0.0,0.0
1,0.0,1.0,0.0,0.0
2,0.0,1.0,0.0,0.0
3,0.0,0.828,0.172,0.3612
4,0.0,0.656,0.344,0.6369
5,0.0,0.784,0.216,0.5106
6,0.0,0.803,0.197,0.4019
7,0.0,1.0,0.0,0.0
8,0.0,1.0,0.0,0.0
9,0.155,0.845,0.0,-0.2975
10,0.0,1.0,0.0,0.0
11,0.0,1.0,0.0,0.0
12,0.0,1.0,0.0,0.0
13,0.0,1.0,0.0,0.0
14,0.0,1.0,0.0,0.0
15,0.0,0.876,0.124,0.1779
16,0.0,0.769,0.231,0.4019
17,0.0,1.0,0.0,0.0
18,0.0,1.0,0.0,0.0
19,0.0,0.734,0.266,0.4404
20,0.0,0.823,0.177,0.4215
21,0.0,0.775,0.225,0.4404
22,0.0,1.0,0.0,0.0
23,0.0,0.842,0.158,0.128
24,0.0,1.0,0.0,0.0
25,0.0,0.854,0.146,0.34
26,0.0,0.787,0.213,0.2263
27,0.0,1.0,0.0,0.0
28,0.0,1.0,0.0,0.0
29,0.167,0.833,0.0,-0.3818
30,0.182,0.629,0.189,0.0258
31,0.142,0.71,0.148,0.0258
32,0.0,0.851,0.149,0.2732
33,0.0,1.0,0.0,0.0
34,0.0,1.0,0.0,0.0
35,0.0,1.0,0.0,0.0
36,0.0,1.0,0.0,0.0
37,0.0,1.0,0.0,0.0
38,0.0,0.776,0.224,0.3818
39,0.0,1.0,0.0,0.0
40,0.0,1.0,0.0,0.0
41,0.0,1.0,0.0,0.0
42,0.207,0.67,0.123,-0.3612
43,0.0,1.0,0.0,0.0
44,0.0,1.0,0.0,0.0
45,0.165,0.647,0.187,0.0772
46,0.0,1.0,0.0,0.0
47,0.0,1.0,0.0,0.0
48,0.0,0.821,0.179,0.34
49,0.0,1.0,0.0,0.0
50,0.141,0.859,0.0,-0.3182
51,0.429,0.472,0.099,-0.7717
52,0.0,1.0,0.0,0.0
53,0.0,1.0,0.0,0.0
54,0.0,1.0,0.0,0.0
55,0.0,1.0,0.0,0.0
56,0.0,1.0,0.0,0.0
57,0.0,0.732,0.268,0.6705
58,0.0,0.755,0.245,0.3818
59,0.0,1.0,0.0,0.0
60,0.0,0.821,0.179,0.34
61,0.124,0.619,0.257,0.4215
62,0.173,0.467,0.36,0.4215
63,0.0,0.87,0.13,0.128
64,0.0,0.729,0.271,0.6369
65,0.0,1.0,0.0,0.0
66,0.138,0.719,0.144,0.0258
67,0.0,1.0,0.0,0.0
68,0.126,0.579,0.295,0.4939
69,0.0,1.0,0.0,0.0
70,0.0,1.0,0.0,0.0
71,0.0,1.0,0.0,0.0
72,0.0,1.0,0.0,0.0
73,0.0,1.0,0.0,0.0
74,0.0,0.753,0.247,0.5574
75,0.0,0.744,0.256,0.6705
76,0.28,0.623,0.097,-0.6486
77,0.0,0.784,0.216,0.296
78,0.0,0.821,0.179,0.34
79,0.0,1.0,0.0,0.0
80,0.0,1.0,0.0,0.0
81,0.215,0.615,0.169,-0.0772
82,0.0,0.674,0.326,0.4404
83,0.0,0.784,0.216,0.296
84,0.0,1.0,0.0,0.0
85,0.0,0.69,0.31,0.5574
86,0.0,1.0,0.0,0.0
87,0.0,1.0,0.0,0.0
88,0.0,1.0,0.0,0.0
89,0.0,1.0,0.0,0.0
90,0.147,0.699,0.154,0.0258
91,0.0,1.0,0.0,0.0
92,0.0,1.0,0.0,0.0
93,0.277,0.723,0.0,-0.3182
94,0.0,1.0,0.0,0.0
95,0.0,1.0,0.0,0.0
96,0.0,0.82,0.18,0.296
97,0.0,1.0,0.0,0.0
98,0.0,0.561,0.439,0.5719
99,0.0,0.82,0.18,0.296
100,0.0,1.0,0.0,0.0
101,0.0,0.716,0.284,0.4902
102,0.0,1.0,0.0,0.0
103,0.0,1.0,0.0,0.0
104,0.0,0.784,0.216,0.296
105,0.0,1.0,0.0,0.0
106,0.0,0.687,0.313,0.4927
107,0.0,1.0,0.0,0.0
108,0.244,0.756,0.0,-0.4404
109,0.0,1.0,0.0,0.0
110,0.0,1.0,0.0,0.0
111,0.0,1.0,0.0,0.0
112,0.0,1.0,0.0,0.0
113,0.0,1.0,0.0,0.0
114,0.0,0.732,0.268,0.296
115,0.133,0.867,0.0,-0.3182
116,0.0,1.0,0.0,0.0
117,0.0,0.787,0.213,0.4019
118,0.0,1.0,0.0,0.0
119,0.0,1.0,0.0,0.0
120,0.0,1.0,0.0,0.0
121,0.0,1.0,0.0,0.0
122,0.0,1.0,0.0,0.0
123,0.164,0.703,0.133,-0.1027
124,0.0,1.0,0.0,0.0
125,0.0,1.0,0.0,0.0
126,0.0,1.0,0.0,0.0
127,0.547,0.453,0.0,-0.7034
128,0.0,1.0,0.0,0.0
129,0.0,1.0,0.0,0.0
130,0.0,0.8,0.2,0.3612
131,0.0,1.0,0.0,0.0
132,0.0,0.591,0.409,0.765
133,0.0,1.0,0.0,0.0
134,0.266,0.734,0.0,-0.4404
135,0.0,0.761,0.239,0.296
136,0.0,1.0,0.0,0.0
137,0.0,1.0,0.0,0.0
138,0.0,1.0,0.0,0.0
139,0.0,1.0,0.0,0.0
140,0.0,1.0,0.0,0.0
141,0.0,1.0,0.0,0.0
142,0.0,1.0,0.0,0.0
143,0.255,0.745,0.0,-0.34
144,0.244,0.756,0.0,-0.4404
145,0.0,1.0,0.0,0.0
146,0.0,0.722,0.278,0.4019
147,0.0,0.584,0.416,0.6908
148,0.088,0.809,0.103,0.1027
149,0.0,1.0,0.0,0.0
150,0.0,1.0,0.0,0.0
151,0.0,1.0,0.0,0.0
152,0.0,1.0,0.0,0.0
153,0.0,0.752,0.248,0.5106
154,0.0,0.909,0.091,0.3818
155,0.0,0.756,0.244,0.4404
156,0.0,0.898,0.102,0.3818
157,0.0,1.0,0.0,0.0
158,0.0,1.0,0.0,0.0
159,0.0,1.0,0.0,0.0
160,0.0,1.0,0.0,0.0
161,0.0,1.0,0.0,0.0
162,0.0,0.805,0.195,0.1779
163,0.0,1.0,0.0,0.0
164,0.0,1.0,0.0,0.0
165,0.547,0.453,0.0,-0.7034
166,0.0,1.0,0.0,0.0
167,0.0,0.898,0.102,0.3818
168,0.0,0.847,0.153,0.5719
169,0.0,0.569,0.431,0.6486
170,0.216,0.784,0.0,-0.296
171,0.0,1.0,0.0,0.0
172,0.0,0.508,0.492,0.4404
173,0.0,1.0,0.0,0.0
174,0.0,1.0,0.0,0.0
175,0.0,1.0,0.0,0.0
176,0.0,1.0,0.0,0.0
177,0.0,0.769,0.231,0.5423
178,0.0,0.813,0.187,0.3182
179,0.0,1.0,0.0,0.0
180,0.0,1.0,0.0,0.0
181,0.0,0.526,0.474,0.5423
182,0.0,1.0,0.0,0.0
183,0.0,0.417,0.583,0.8126
184,0.0,0.652,0.348,0.4939
185,0.0,1.0,0.0,0.0
186,0.0,0.813,0.187,0.3182
187,0.341,0.406,0.253,-0.3182
188,0.0,0.777,0.223,0.3182
189,0.0,1.0,0.0,0.0
190,0.0,1.0,0.0,0.0
191,0.0,1.0,0.0,0.0
192,0.0,1.0,0.0,0.0
193,0.0,1.0,0.0,0.0
194,0.0,0.729,0.271,0.3818
195,0.0,1.0,0.0,0.0
196,0.0,1.0,0.0,0.0
197,0.0,0.795,0.205,0.2023
198,0.0,1.0,0.0,0.0
199,0.0,1.0,0.0,0.0
200,0.0,1.0,0.0,0.0
201,0.0,1.0,0.0,0.0
202,0.0,1.0,0.0,0.0
203,0.0,1.0,0.0,0.0
204,0.0,1.0,0.0,0.0
205,0.0,1.0,0.0,0.0
206,0.179,0.643,0.179,0.0
207,0.0,1.0,0.0,0.0
208,0.0,1.0,0.0,0.0
209,0.0,1.0,0.0,0.0
210,0.0,0.798,0.202,0.5106
211,0.0,0.784,0.216,0.296
212,0.0,1.0,0.0,0.0
213,0.0,0.769,0.231,0.3412
214,0.117,0.625,0.258,0.4215
215,0.0,0.877,0.123,0.4215
216,0.0,1.0,0.0,0.0
217,0.237,0.763,0.0,-0.4215
218,0.0,0.698,0.302,0.4404
219,0.0,1.0,0.0,0.0
220,0.0,0.655,0.345,0.7003
221,0.0,0.661,0.339,0.4767
222,0.0,1.0,0.0,0.0
223,0.0,0.674,0.326,0.4404
224,0.0,1.0,0.0,0.0
225,0.0,1.0,0.0,0.0
226,0.0,0.806,0.194,0.34
227,0.0,0.833,0.167,0.1027
228,0.0,0.814,0.186,0.4939
229,0.0,0.821,0.179,0.34
230,0.0,0.729,0.271,0.3818
231,0.0,0.702,0.298,0.5267
232,0.0,1.0,0.0,0.0
233,0.0,0.896,0.104,0.296
234,0.0,1.0,0.0,0.0
235,0.0,1.0,0.0,0.0
236,0.0,0.795,0.205,0.2023
237,0.0,0.775,0.225,0.4404
238,0.231,0.597,0.172,0.0516
239,0.0,1.0,0.0,0.0
240,0.231,0.597,0.172,0.0516
241,0.0,1.0,0.0,0.0
242,0.0,1.0,0.0,0.0
243,0.0,1.0,0.0,0.0
244,0.0,1.0,0.0,0.0
245,0.0,1.0,0.0,0.0
246,0.0,1.0,0.0,0.0
247,0.0,0.816,0.184,0.2023
248,0.0,1.0,0.0,0.0
249,0.0,1.0,0.0,0.0
250,0.0,0.795,0.205,0.3818
251,0.0,0.674,0.326,0.4404
252,0.0,1.0,0.0,0.0
253,0.0,1.0,0.0,0.0
254,0.0,0.755,0.245,0.3818
255,0.0,1.0,0.0,0.0
256,0.0,0.874,0.126,0.0772
257,0.0,1.0,0.0,0.0
258,0.0,0.722,0.278,0.4019
259,0.0,0.867,0.133,0.3818
260,0.0,1.0,0.0,0.0
261,0.105,0.526,0.368,0.6124
262,0.0,0.708,0.292,0.5106
263,0.0,1.0,0.0,0.0
264,0.0,1.0,0.0,0.0
265,0.0,0.708,0.292,0.5106
266,0.0,1.0,0.0,0.0
267,0.0,1.0,0.0,0.0
268,0.0,0.471,0.529,0.8442
269,0.0,1.0,0.0,0.0
270,0.0,0.68,0.32,0.5106
271,0.0,0.859,0.141,0.3182
272,0.0,1.0,0.0,0.0
273,0.123,0.491,0.387,0.6486
274,0.0,0.794,0.206,0.3818
275,0.0,0.68,0.32,0.5106
276,0.0,1.0,0.0,0.0
277,0.0,0.722,0.278,0.4019
278,0.0,0.891,0.109,0.4019
279,0.0,0.69,0.31,0.4019
280,0.0,1.0,0.0,0.0
281,0.0,1.0,0.0,0.0
282,0.0,1.0,0.0,0.0
283,0.0,0.805,0.195,0.4404
284,0.0,1.0,0.0,0.0
285,0.0,0.727,0.273,0.5423
286,0.0,1.0,0.0,0.0
287,0.0,1.0,0.0,0.0
288,0.0,1.0,0.0,0.0
289,0.0,1.0,0.0,0.0
290,0.0,1.0,0.0,0.0
291,0.0,1.0,0.0,0.0
292,0.0,1.0,0.0,0.0
293,0.0,1.0,0.0,0.0
294,0.123,0.877,0.0,-0.2732
