,Date,Title,Link,Ticker
0,2021-04-16 12:30:00,Gentex (GNTX) Earnings Expected to Grow: Should You Buy?,https://finance.yahoo.com/news/gentex-gntx-earnings-expected-grow-163004439.html,GNTX
1,2021-04-08 13:59:00,Is GNTX Stock A Buy or Sell?,https://finance.yahoo.com/news/gntx-stock-buy-sell-175918438.html,GNTX
2,2021-04-03 03:51:00,Is It Smart To Buy Gentex Corporation (NASDAQ:GNTX) Before It Goes Ex-Dividend?,https://finance.yahoo.com/news/smart-buy-gentex-corporation-nasdaq-075123934.html,GNTX
3,2021-04-02 11:40:00,MGA or GNTX: Which Is the Better Value Stock Right Now?,https://finance.yahoo.com/news/mga-gntx-better-value-stock-154003821.html,GNTX
4,2021-04-01 12:00:00,Gentex Reports First Quarter 2021 Earnings Release Date and Conference Call,https://finance.yahoo.com/news/gentex-reports-first-quarter-2021-160000422.html,GNTX
5,2021-04-01 03:44:00,Did You Participate In Any Of Gentex's (NASDAQ:GNTX) Fantastic 158% Return ?,https://finance.yahoo.com/news/did-participate-gentexs-nasdaq-gntx-074402063.html,GNTX
6,2021-03-17 11:40:00,MGA vs. GNTX: Which Stock Should Value Investors Buy Now?,https://finance.yahoo.com/news/mga-vs-gntx-stock-value-154003235.html,GNTX
7,2021-03-06 03:32:00,Estimating The Fair Value Of Gentex Corporation (NASDAQ:GNTX),https://finance.yahoo.com/news/estimating-fair-value-gentex-corporation-083233276.html,GNTX
8,2021-03-02 08:00:00,Gentex Announces First Quarter 2021 Cash Dividend,https://finance.yahoo.com/news/gentex-announces-first-quarter-2021-130000134.html,GNTX
9,2021-03-01 11:40:00,MGA vs. GNTX: Which Stock Should Value Investors Buy Now?,https://finance.yahoo.com/news/mga-vs-gntx-stock-value-164004838.html,GNTX
10,2021-02-28 11:30:00,Gentex (GNTX) Up 5.5% Since Last Earnings Report: Can It Continue?,https://finance.yahoo.com/news/gentex-gntx-5-5-since-163004443.html,GNTX
11,2021-02-11 11:40:00,MGA vs. GNTX: Which Stock Is the Better Value Option?,https://finance.yahoo.com/news/mga-vs-gntx-stock-better-164004762.html,GNTX
12,2021-02-08 06:03:00,Do Its Financials Have Any Role To Play In Driving Gentex Corporation's (NASDAQ:GNTX) Stock Up Recently?,https://finance.yahoo.com/news/financials-role-play-driving-gentex-110326116.html,GNTX
13,2021-02-02 06:18:00,"Gentex (GNTX) Q4 Earnings Beat, '21 Sales Outlook Upbeat",https://finance.yahoo.com/news/gentex-gntx-q4-earnings-beat-111811087.html,GNTX
