,Date,Title,Link,Ticker
0,2021-04-16 11:18:00,Benefits Manager Progyny Grows Even As Covid Upends Fertility Treatments,https://finance.yahoo.com/video/benefits-manager-progyny-grows-even-151824806.html,PGNY
1,2021-04-15 18:03:00,PTC Set to Join S&P 500; Lattice Semiconductor & Progyny to Join S&P MidCap 400; Domtar to Join S&P SmallCap 600,https://finance.yahoo.com/news/ptc-set-join-p-500-220300852.html,PGNY
2,2021-04-13 16:02:00,"Roblox Breaks Out On 110% Sales Growth, 193% Q1 EPS Estimate",https://www.investors.com/research/how-to-find-the-best-stocks-to-buy/roblox-pins-stock-among-best-ipos-to-buy-and-watch/?src=A00220,PGNY
3,2021-04-13 15:14:00,"IBD 50 Stocks To Watch: Fertility Stock Progyny Delivers This Bullish Move, Eyes Buy Point",https://www.investors.com/research/progyny-stock-delivers-this-bullish-move-eyes-buy-point/?src=A00220,PGNY
4,2021-04-13 05:26:00,"Introducing Progyny (NASDAQ:PGNY), The Stock That Zoomed 150% In The Last Year",https://finance.yahoo.com/news/introducing-progyny-nasdaq-pgny-stock-092643805.html,PGNY
5,2021-04-12 17:14:00,Progyny Sees Relative Strength Rating Jump To Desired 81,https://www.investors.com/news/stocks-to-watch-progyny-inc-sees-relative-strength-rating-jump-to-81/?src=A00220,PGNY
6,2021-03-16 12:23:00,"Alger Weatherbie Specialized Growth: Earnings Results for Progyny, Ahead of Expectations",https://finance.yahoo.com/news/alger-weatherbie-specialized-growth-earnings-162353105.html,PGNY
7,2021-03-08 04:33:00,Does Progyny (NASDAQ:PGNY) Have The Makings Of A Multi-Bagger?,https://finance.yahoo.com/news/does-progyny-nasdaq-pgny-makings-093317772.html,PGNY
8,2021-02-24 17:07:00,"Dow Jones Futures: Dow Hits High As Tesla Rebounds, GameStop Skyrockets; Nvidia, Teladoc Leads Five Earnings Movers",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-dow-hits-high-tesla-rebounds-gme-stock-skyrockets-nvidia-teladoc-earnings/?src=A00220,PGNY
9,2021-02-24 17:04:00,Progyny Beats As Fertility Clients Jump Amid Pandemic But Outlook Weak,https://www.investors.com/news/pgny-stock-progyny-q4-earnings-revenue-fertility-covid-19/?src=A00220,PGNY
10,2021-02-24 16:05:00,"Progyny, Inc. Announces Fourth Quarter and Full Year 2020 Results",https://finance.yahoo.com/news/progyny-inc-announces-fourth-quarter-210500193.html,PGNY
11,2021-02-24 15:15:00,Progyny Inc to Host Earnings Call,https://finance.yahoo.com/news/progyny-inc-host-earnings-call-201500248.html,PGNY
12,2021-02-23 16:55:00,"Progyny, IBD Stock Of The Day, Eyes Buy Point Ahead Of Earnings While Pandemic Freezes Fertility",https://www.investors.com/research/ibd-stock-of-the-day/pgny-stock-earnings-ahead-post-covid-baby-boom/?src=A00220,PGNY
13,2021-02-22 12:30:00,2 High-Growth Stocks in the Market Today,https://www.fool.com/investing/2021/02/22/2-high-growth-stocks-in-the-market-today/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,PGNY
14,2021-02-22 11:00:00,"Progyny, Inc. to Participate at the 10th Annual SVB Leerink Global Healthcare Conference",https://finance.yahoo.com/news/progyny-inc-participate-10th-annual-160000657.html,PGNY
15,2021-02-15 06:22:00,3 Healthcare Stocks I'd Buy Right Now,https://www.fool.com/investing/2021/02/15/3-healthcare-stocks-id-buy-right-now/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,PGNY
16,2021-02-10 12:00:00,"Progyny, Inc. Announces Details for Its Fourth Quarter and Full Year Results Report",https://finance.yahoo.com/news/progyny-inc-announces-details-fourth-170000459.html,PGNY
17,2021-01-29 03:46:00,"Is Progyny, Inc. (NASDAQ:PGNY) Worth US$46.5 Based On Its Intrinsic Value?",https://finance.yahoo.com/news/progyny-inc-nasdaq-pgny-worth-084637095.html,PGNY
18,2021-01-05 09:00:00,"Progyny, Inc. to Present at the 39th Annual JP Morgan Healthcare Conference",https://finance.yahoo.com/news/progyny-inc-present-39th-annual-140000963.html,PGNY
